"","Especie","Long","Lat","BD","colecta","env_group_3"
"362","albilanata",-99.190316,19.313985,"gbs","Jardin Botanico","San_angelensis"
"363","albilanata",-99.190316,19.313985,"gbs","Espacio escultorico tejido","San_angelensis"
"364","haageana",-97.6491388888889,18.2133055555556,"gbs","CC027","M_conspicua"
"365","haageana",-97.6491388888889,18.2133055555556,"gbs","CC027","M_conspicua"
"366","haageana",-97.6956388888889,18.0843611111111,"gbs","CC028","M_conspicua"
"367","haageana",-97.6956388888889,18.0843611111111,"gbs","CC028","M_conspicua"
"368","albilanata",-97.2167222222222,17.4888055555556,"gbs","CC033","Oaxacana"
"369","albilanata",-97.2167222222222,17.4888055555556,"gbs","CC033","Oaxacana"
"370","albilanata",-97.2078888888889,17.4728055555556,"gbs","CC034","Oaxacana"
"371","albilanata",-97.2078888888889,17.4728055555556,"gbs","CC034","Oaxacana"
"372","albilanata",-97.0455,17.4365,"gbs","CC035","Oaxacana"
"373","albilanata",-97.0455,17.4365,"gbs","CC035","Oaxacana"
"374","albilanata",-97.1041666666667,17.45975,"gbs","CC038","Oaxacana"
"375","albilanata",-97.1041666666667,17.45975,"gbs","CC038","Oaxacana"
"376","albilanata",-97.2948333333333,17.2669166666667,"gbs","CC039","Oaxacana"
"377","albilanata",-97.2948333333333,17.2669166666667,"gbs","CC039","Oaxacana"
"378","haageana",-97.7016111111111,17.7289722222222,"gbs","CC045","M_conspicua"
"379","haageana",-97.7016111111111,17.7289722222222,"gbs","CC045","M_conspicua"
"380","haageana",-97.4596111111111,18.4473888888889,"gbs","CC023","M_conspicua"
"381","haageana",-97.4596111111111,18.4473888888889,"gbs","CC023","M_conspicua"
"382","haageana",-97.4596111111111,18.3333333333333,"gbs","CC024","M_meissneri"
"383","haageana",-97.4935,18.2556666666667,"gbs","CC025","M_conspicua"
"384","haageana",-97.4935,18.2556666666667,"gbs","CC025","M_conspicua"
"385","haageana",-97.5009722222222,18.2879444444444,"gbs","CC026","M_meissneri"
