"Especie","Lat","Long","BD","colecta"
"haageana",17.2522222222222,-97.48,"col_cactus",NA
"haageana",17.345,-96.9355555555556,"col_cactus",NA
"haageana",17.1558333333333,-97.3338888888889,"col_cactus",NA
"haageana",17.4633333333333,-97.3494444444444,"col_cactus",NA
"haageana",18.6769444444444,-97.7188888888889,"col_cactus",NA
"haageana",17.6383333333333,-97.5055555555555,"col_cactus",NA
"haageana",17.4286111111111,-97.3763888888889,"col_cactus",NA
"haageana",18.1355555555556,-97.1258333333333,"col_cactus",NA
"haageana",17.5494444444444,-97.38,"col_cactus",NA
"haageana",18.4466666666667,-97.2502777777778,"col_cactus",NA
"haageana",17.6358333333333,-97.1994444444444,"col_cactus",NA
"haageana",17.8013888888889,-97.5369444444444,"col_cactus",NA
"haageana",17.4583333333333,-97.2194444444444,"col_cactus",NA
"haageana",17.5094444444444,-97.4430555555556,"col_cactus",NA
"haageana",17.3372222222222,-97.465,"col_cactus",NA
"haageana",18.1783333333333,-97.7416666666667,"col_cactus",NA
"haageana",17.4461111111111,-97.2602777777778,"col_cactus",NA
"haageana",17.2827777777778,-97.2602777777778,"col_cactus",NA
"haageana",17.8369444444444,-97.2602777777778,"col_cactus",NA
"haageana",18.2252777777778,-97.4872222222222,"col_cactus",NA
"haageana",18.8563888888889,-99.1180555555555,"col_cactus",NA
"haageana",18.8852777777778,-97.7277777777778,"col_cactus",NA
"haageana",17.3330555555556,-97.1761111111111,"col_cactus",NA
"haageana",17.4063888888889,-97.2672222222222,"col_cactus",NA
"haageana",17.4858333333333,-97.2266666666667,"col_cactus",NA
"haageana",17.3563888888889,-97.2302777777778,"col_cactus",NA
"haageana",17.4880555555556,-97.4011111111111,"col_cactus",NA
"haageana",17.7258333333333,-97.2605555555556,"col_cactus",NA
"haageana",17.4247222222222,-97.425,"col_cactus",NA
"haageana",17.4225,-97.4744444444444,"col_cactus",NA
"haageana",17.5719444444444,-97.3297222222222,"col_cactus",NA
"haageana",17.6483333333333,-97.3252777777778,"col_cactus",NA
"haageana",17.3758333333333,-97.1058333333333,"col_cactus",NA
